Date,Dom_plac_final,ext_plac_joun,Dom_plac_joun,Victoire_dom,Derby,ext_plac_final,Journee,Resultat,Heure,Temp,Domicile,Capacite,Affluence,exterieur,Jours
01-04-2018,3,17,4,63.2,0,18,31,2-0,21:00,283.75,Olympique de lyonnais,59186,48548,Toulouse FC,dim
01-09-2012,3,6,2,57.9,0,11,4,3-2,17:00,293.65,Olympique de lyonnais,41044,25380,Valenciennes FC,ven
01-12-2012,3,13,1,57.9,0,9,15,1-0,17:00,276.75,Olympique de lyonnais,41044,31491,Montpellier Herault SC,ven
02-03-2014,5,11,6,42.1,0,15,27,0-0,17:00,283.05,Olympique de lyonnais,41044,35865,Montpellier Herault SC,dim
02-05-2012,4,12,4,68.4,0,12,35,4-1,19:00,286.05,Olympique de lyonnais,41044,30890,Valenciennes FC,mer
02-05-2015,2,18,2,73.7,0,18,35,2-0,17:00,286.65,Olympique de lyonnais,41044,36839,evian Thonon Gaillard FC,ven
02-10-2016,4,9,5,63.2,1,8,8,2-0,20:45,290.15,Olympique de lyonnais,59186,57050,AS Saint-Etienne,dim
02-11-2013,5,10,13,42.1,0,16,12,2-0,20:00,288.65,Olympique de lyonnais,41044,37334,EA Guingamp,ven
03-02-2016,2,11,10,63.2,0,11,24,3-0,19:00,281.45,Olympique de lyonnais,59186,30143,FC Girondins de Bordeaux,mer
03-10-2015,2,7,6,63.2,0,18,9,1-0,17:30,294.15,Olympique de lyonnais,39490,30089,Stade de Reims,ven
04-11-2012,3,12,1,57.9,0,12,11,5-2,17:00,284.35,Olympique de lyonnais,41044,27363,SC Bastia,dim
04-12-2011,4,6,4,68.4,0,8,16,3-2,21:00,285.45,Olympique de lyonnais,41044,31028,Toulouse FC,dim
04-12-2014,2,9,3,73.7,0,15,16,2-1,21:00,277.75,Olympique de lyonnais,41044,32513,Stade de Reims,jeu
05-05-2010,2,4,2,63.2,0,3,36,2-1,19:00,284.45,Olympique de lyonnais,41044,36262,AJ Auxerre,mer
05-08-2017,3,20,1,63.2,0,15,1,4-0,20:00,297.95,Olympique de lyonnais,59186,39177,RC Strasbourg Alsace,ven
05-10-2014,2,4,6,73.7,0,8,9,3-0,17:00,287.25,Olympique de lyonnais,41044,34349,Lille OSC,dim
05-11-2016,4,17,7,63.2,0,20,12,2-1,20:00,283.55,Olympique de lyonnais,59186,33886,SC Bastia,ven
05-12-2013,5,14,12,42.1,0,9,16,1-1,21:00,280.95,Olympique de lyonnais,41044,29152,Toulouse FC,jeu
05-12-2015,2,2,5,63.2,0,9,17,0-2,17:00,281.95,Olympique de lyonnais,39490,36068,Angers SCO,ven
06-02-2011,3,9,6,57.9,0,7,22,0-0,21:00,282.45,Olympique de lyonnais,41044,35909,FC Girondins de Bordeaux,dim
06-03-2011,3,20,3,57.9,0,20,26,5-0,17:00,281.35,Olympique de lyonnais,41044,36786,AC Arles Avignon,dim
06-03-2016,2,17,3,63.2,0,16,29,5-1,21:00,280.25,Olympique de lyonnais,59186,33133,EA Guingamp,dim
06-05-2012,4,18,4,68.4,0,15,36,1-1,17:00,286.85,Olympique de lyonnais,41044,31016,Stade Brestois 29,dim
06-05-2018,3,19,2,63.2,0,19,36,3-0,16:30,299.85,Olympique de lyonnais,59186,54273,ESTAC Troyes,dim
07-04-2012,4,20,4,68.4,0,20,31,2-1,21:00,285.65,Olympique de lyonnais,41044,31492,AJ Auxerre,ven
