Affluence,Capacite,Journee,Jours,Date,Heure,Domicile,Resultat,exterieur,Derby,Victoire_dom,Dom_plac_joun,ext_plac_joun,Dom_plac_final,ext_plac_final
24551,50000,1,sam,21/07/1989,20:30,Olympique de lyonnais,1-4,Olympique de Marseille,1,42.1,18,1,8,1
15572,50000,2,ven,29/07/1989,20:30,Olympique de lyonnais,3-0,Toulouse FC,0,42.1,7,8,8,9
15753,50000,4,ven,05/08/1989,20:30,Olympique de lyonnais,2-0,OGC Nice,0,42.1,8,13,8,18
23791,50000,6,ven,19/08/1989,20:30,Olympique de lyonnais,0-4,FC Sochaux-Montbeliard,0,42.1,9,4,8,4
17423,50000,8,mer,30/08/1989,20:30,Olympique de lyonnais,1-1,Racing Paris 1,0,42.1,13,14,8,19
14214,50000,10,ven,16/09/1989,20:30,Olympique de lyonnais,2-1,Lille OSC,0,42.1,14,18,8,17
14927,50000,12,ven,30/09/1989,20:30,Olympique de lyonnais,2-1,SM Caen,0,42.1,6,16,8,16
18811,50000,14,sam,13/10/1989,20:30,Olympique de lyonnais,0-2,AS Monaco,0,42.1,13,7,8,3
26480,50000,16,ven,28/10/1989,20:30,Olympique de lyonnais,0-0,Girondins de Bordeaux FC,0,42.1,9,2,8,2
12935,50000,18,mer,08/11/1989,20:30,Olympique de lyonnais,3-1,FC Mulhouse,0,42.1,7,17,8,20
15423,50000,23,dim,17/12/1989,15:00,Olympique de lyonnais,0-0,FC Metz,0,42.1,7,14,8,14
16853,50000,25,dim,11/02/1990,15:00,Olympique de lyonnais,3-1,Montpellier Herault SC,0,42.1,7,19,8,13
39467,50000,27,dim,25/02/1990,15:00,Olympique de lyonnais,0-0,AS Saint-Etienne,1,42.1,6,8,8,15
25446,50000,21,mer,14/03/1990,20:30,Olympique de lyonnais,0-0,FC Nantes,0,42.1,7,8,8,7
15568,50000,29,ven,17/03/1990,20:30,Olympique de lyonnais,4-0,Brest Armorique FC,0,42.1,6,13,8,10
19205,50000,31,ven,31/03/1990,20:30,Olympique de lyonnais,0-1,AS Cannes,0,42.1,6,12,8,11
17618,50000,33,ven,14/04/1990,20:30,Olympique de lyonnais,1-2,Paris Saint-Germain FC,1,42.1,9,4,8,5
14185,50000,35,ven,28/04/1990,20:30,Olympique de lyonnais,3-2,SC Toulon et du Var,0,42.1,9,14,8,12
29557,50000,37,ven,12/05/1990,20:30,Olympique de lyonnais,1-1,AJ Auxerre,0,42.1,9,6,8,6
23000,50000,2,ven,28/07/1990,20:30,Olympique de lyonnais,1-0,AS Cannes,0,63.2,5,10,5,4
36151,50000,4,ven,11/08/1990,20:30,Olympique de lyonnais,2-2,Olympique de Marseille,1,63.2,11,1,5,1
22851,50000,6,ven,25/08/1990,20:30,Olympique de lyonnais,1-0,FC Sochaux-Montbeliard,0,63.2,6,14,5,18
21275,50000,8,ven,08/09/1990,20:30,Olympique de lyonnais,2-0,Brest Armorique FC,0,63.2,7,5,5,11
19246,50000,10,ven,22/09/1990,20:30,Olympique de lyonnais,0-0,Stade Rennais FC,0,63.2,4,18,5,20
23972,50000,12,ven,06/10/1990,20:30,Olympique de lyonnais,3-3,Montpellier Herault SC,0,63.2,11,5,5,7
18653,50000,14,ven,27/10/1990,20:30,Olympique de lyonnais,1-0,OGC Nice,0,63.2,10,19,5,14
19943,50000,17,ven,24/11/1990,20:30,Olympique de lyonnais,2-1,Lille OSC,0,63.2,10,11,5,6
15475,50000,21,dim,23/12/1990,15:00,Olympique de lyonnais,4-1,Toulouse FC,0,63.2,5,20,5,19
12018,50000,23,sam,18/01/1991,20:30,Olympique de lyonnais,1-0,AS Monaco,0,63.2,6,2,5,2
14836,50000,19,mer,30/01/1991,20:30,Olympique de lyonnais,2-0,FC Nantes,0,63.2,5,8,5,15
19529,50000,25,dim,03/02/1991,15:00,Olympique de lyonnais,0-0,Paris Saint-Germain FC,1,63.2,5,8,5,9
12964,50000,29,ven,02/03/1991,20:30,Olympique de lyonnais,0-1,AS Nancy Lorraine,0,63.2,8,14,5,17
15154,50000,31,ven,23/03/1991,20:30,Olympique de lyonnais,1-0,AJ Auxerre,0,63.2,9,3,5,3
37131,50000,27,mar,26/03/1991,20:00,Olympique de lyonnais,1-1,AS Saint-Etienne,1,63.2,6,10,5,13
14770,50000,33,ven,13/04/1991,20:30,Olympique de lyonnais,1-1,SC Toulon et du Var,0,63.2,9,15,5,16
12096,50000,34,ven,20/04/1991,20:30,Olympique de lyonnais,3-2,SM Caen,0,63.2,8,11,5,8
16977,50000,36,sam,10/05/1991,20:30,Olympique de lyonnais,3-1,FC Metz,0,63.2,5,11,5,12
39521,50000,38,sam,24/05/1991,20:30,Olympique de lyonnais,1-0,Girondins de Bordeaux FC,0,63.2,5,10,5,10
35000,50000,2,ven,27/07/1991,20:30,Olympique de lyonnais,1-1,Olympique de Marseille,1,42.1,15,4,16,1
18451,50000,4,ven,03/08/1991,20:30,Olympique de lyonnais,1-0,Montpellier Herault SC,0,42.1,12,18,16,6
17410,50000,6,ven,17/08/1991,20:30,Olympique de lyonnais,0-0,AS Cannes,0,42.1,13,15,16,19
16654,50000,7,ven,24/08/1991,20:30,Olympique de lyonnais,2-2,SM Caen,0,42.1,12,11,16,5
20766,50000,9,ven,07/09/1991,20:30,Olympique de lyonnais,0-1,Paris Saint-Germain FC,1,42.1,17,4,16,3
14245,50000,11,ven,21/09/1991,20:30,Olympique de lyonnais,1-1,SC Toulon et du Var,0,42.1,14,17,16,14
27673,50000,13,dim,06/10/1991,19:00,Olympique de lyonnais,0-0,AS Saint-Etienne,1,42.1,16,15,16,10
12151,50000,15,ven,26/10/1991,20:30,Olympique de lyonnais,1-0,Toulouse FC,0,42.1,17,15,16,11
12582,50000,17,ven,09/11/1991,20:30,Olympique de lyonnais,1-1,RC Lens,0,42.1,18,13,16,8
12667,50000,19,ven,23/11/1991,20:30,Olympique de lyonnais,0-1,FC Nantes,0,42.1,18,7,16,9
11672,50000,21,ven,07/12/1991,20:30,Olympique de lyonnais,2-1,AS Nancy Lorraine,0,42.1,16,20,16,20
12368,50000,23,mer,18/12/1991,20:30,Olympique de lyonnais,2-0,AS Monaco,0,42.1,16,2,16,2
11638,50000,26,ven,25/01/1992,20:30,Olympique de lyonnais,1-0,Lille OSC,0,42.1,15,12,16,13
